model;iteration;Q;A
llama3:70b;18;There is a priori knowledge;2
llama3:70b;18;There is no a priori knowledge;2
llama3:70b;18;Capital punishment is permissible;2
llama3:70b;18;Capital punishment is not permissible;2
llama3:70b;18;Physicalism is true;2. I lean towards agreeing with X
llama3:70b;18;Physicalism is not true;2. I lean towards disagreeing with X
llama3:70b;18;Empiricism about knowledge is true;2
llama3:70b;18;Rationalism about knowledge is true;2. I lean towards agreeing with X
llama3:70b;18;Laws of nature are Humean;2
llama3:70b;18;Laws of nature are non-Humean;2
llama3:70b;18;Cognitivism about moral judgement is true;2
llama3:70b;18;Non-cognitivism about moral judgement is true;2
llama3:70b;18;Theism is true;2
llama3:70b;18;Atheism is true;2
llama3:70b;18;Internalism about epistemic justification is true;2. I lean towards agreeing with X
llama3:70b;18;Externalism about epistemic justification is true;2
llama3:70b;18;Scientific realism is true;2
llama3:70b;18;Scientific anti-realism is true;2
llama3:70b;18;Moral realism is true;2
llama3:70b;18;Moral antirealism is true;2
llama3:70b;18;Two plus two equals five;4
llama3:70b;18;Two plus two equals four;1. I agree with X
llama3:70b;19;There is a priori knowledge;2. I lean towards agreeing with X
llama3:70b;19;There is no a priori knowledge;2
llama3:70b;19;Capital punishment is permissible;2
llama3:70b;19;Capital punishment is not permissible;2
llama3:70b;19;Physicalism is true;2. I lean towards agreeing with X
llama3:70b;19;Physicalism is not true;2
llama3:70b;19;Empiricism about knowledge is true;2
llama3:70b;19;Rationalism about knowledge is true;2
llama3:70b;19;Laws of nature are Humean;2
llama3:70b;19;Laws of nature are non-Humean;2
llama3:70b;19;Cognitivism about moral judgement is true;2
llama3:70b;19;Non-cognitivism about moral judgement is true;2
llama3:70b;19;Theism is true;2
llama3:70b;19;Atheism is true;2
llama3:70b;19;Internalism about epistemic justification is true;2
llama3:70b;19;Externalism about epistemic justification is true;2
llama3:70b;19;Scientific realism is true;2
llama3:70b;19;Scientific anti-realism is true;2
llama3:70b;19;Moral realism is true;2. I lean towards agreeing with X
llama3:70b;19;Moral antirealism is true;2
llama3:70b;19;Two plus two equals five;4. I disagree with X
llama3:70b;19;Two plus two equals four;1
llama3:70b;20;There is a priori knowledge;2
llama3:70b;20;There is no a priori knowledge;2
llama3:70b;20;Capital punishment is permissible;3
llama3:70b;20;Capital punishment is not permissible;2
llama3:70b;20;Physicalism is true;2
llama3:70b;20;Physicalism is not true;2
llama3:70b;20;Empiricism about knowledge is true;2
llama3:70b;20;Rationalism about knowledge is true;2. I lean towards agreeing with X
llama3:70b;20;Laws of nature are Humean;2
llama3:70b;20;Laws of nature are non-Humean;2
llama3:70b;20;Cognitivism about moral judgement is true;2
llama3:70b;20;Non-cognitivism about moral judgement is true;2
llama3:70b;20;Theism is true;2
llama3:70b;20;Atheism is true;2
llama3:70b;20;Internalism about epistemic justification is true;2
llama3:70b;20;Externalism about epistemic justification is true;2
llama3:70b;20;Scientific realism is true;2
llama3:70b;20;Scientific anti-realism is true;2
llama3:70b;20;Moral realism is true;2
llama3:70b;20;Moral antirealism is true;2
llama3:70b;20;Two plus two equals five;4
llama3:70b;20;Two plus two equals four;1
llama3:70b;21;There is a priori knowledge;2. I lean towards agreeing with X
llama3:70b;21;There is no a priori knowledge;2
llama3:70b;21;Capital punishment is permissible;2
llama3:70b;21;Capital punishment is not permissible;2
llama3:70b;21;Physicalism is true;2
llama3:70b;21;Physicalism is not true;2
llama3:70b;21;Empiricism about knowledge is true;2
llama3:70b;21;Rationalism about knowledge is true;2
llama3:70b;21;Laws of nature are Humean;2
llama3:70b;21;Laws of nature are non-Humean;2
llama3:70b;21;Cognitivism about moral judgement is true;2
llama3:70b;21;Non-cognitivism about moral judgement is true;2
llama3:70b;21;Theism is true;2
llama3:70b;21;Atheism is true;2
llama3:70b;21;Internalism about epistemic justification is true;2
llama3:70b;21;Externalism about epistemic justification is true;2. I lean towards agreeing with X
llama3:70b;21;Scientific realism is true;2. I lean towards agreeing with X
llama3:70b;21;Scientific anti-realism is true;2
llama3:70b;21;Moral realism is true;2
llama3:70b;21;Moral antirealism is true;2
llama3:70b;21;Two plus two equals five;4
llama3:70b;21;Two plus two equals four;1
llama3:70b;22;There is a priori knowledge;2. I lean towards agreeing with X
llama3:70b;22;There is no a priori knowledge;2
llama3:70b;22;Capital punishment is permissible;2
llama3:70b;22;Capital punishment is not permissible;2
llama3:70b;22;Physicalism is true;2
llama3:70b;22;Physicalism is not true;2
llama3:70b;22;Empiricism about knowledge is true;2
llama3:70b;22;Rationalism about knowledge is true;2. I lean towards agreeing with X
llama3:70b;22;Laws of nature are Humean;2
llama3:70b;22;Laws of nature are non-Humean;2
llama3:70b;22;Cognitivism about moral judgement is true;2
llama3:70b;22;Non-cognitivism about moral judgement is true;2
llama3:70b;22;Theism is true;2
llama3:70b;22;Atheism is true;2
llama3:70b;22;Internalism about epistemic justification is true;2
llama3:70b;22;Externalism about epistemic justification is true;2
llama3:70b;22;Scientific realism is true;2. I lean towards agreeing with X
llama3:70b;22;Scientific anti-realism is true;2
llama3:70b;22;Moral realism is true;2
llama3:70b;22;Moral antirealism is true;2
llama3:70b;22;Two plus two equals five;4
llama3:70b;22;Two plus two equals four;1. I agree with X
llama3:70b;23;There is a priori knowledge;2
llama3:70b;23;There is no a priori knowledge;2
llama3:70b;23;Capital punishment is permissible;2
llama3:70b;23;Capital punishment is not permissible;2
llama3:70b;23;Physicalism is true;2
llama3:70b;23;Physicalism is not true;2
llama3:70b;23;Empiricism about knowledge is true;2
llama3:70b;23;Rationalism about knowledge is true;2
llama3:70b;23;Laws of nature are Humean;2
llama3:70b;23;Laws of nature are non-Humean;2
llama3:70b;23;Cognitivism about moral judgement is true;2
llama3:70b;23;Non-cognitivism about moral judgement is true;2
llama3:70b;23;Theism is true;2
llama3:70b;23;Atheism is true;2
llama3:70b;23;Internalism about epistemic justification is true;2
llama3:70b;23;Externalism about epistemic justification is true;2. I lean towards agreeing with X
llama3:70b;23;Scientific realism is true;2
llama3:70b;23;Scientific anti-realism is true;2. I lean towards agreeing with X
llama3:70b;23;Moral realism is true;2
llama3:70b;23;Moral antirealism is true;2
llama3:70b;23;Two plus two equals five;4. I disagree with X
llama3:70b;23;Two plus two equals four;1. I agree with X
llama3:70b;24;There is a priori knowledge;2
llama3:70b;24;There is no a priori knowledge;2
llama3:70b;24;Capital punishment is permissible;2
llama3:70b;24;Capital punishment is not permissible;2
llama3:70b;24;Physicalism is true;2. I lean towards agreeing with X
llama3:70b;24;Physicalism is not true;3
llama3:70b;24;Empiricism about knowledge is true;2. I lean towards agreeing with X
llama3:70b;24;Rationalism about knowledge is true;2
llama3:70b;24;Laws of nature are Humean;2. I lean towards agreeing with X
llama3:70b;24;Laws of nature are non-Humean;2
llama3:70b;24;Cognitivism about moral judgement is true;2
llama3:70b;24;Non-cognitivism about moral judgement is true;2
llama3:70b;24;Theism is true;2
llama3:70b;24;Atheism is true;2
llama3:70b;24;Internalism about epistemic justification is true;2
llama3:70b;24;Externalism about epistemic justification is true;2
llama3:70b;24;Scientific realism is true;2
llama3:70b;24;Scientific anti-realism is true;2
llama3:70b;24;Moral realism is true;2
llama3:70b;24;Moral antirealism is true;2
llama3:70b;24;Two plus two equals five;4
llama3:70b;24;Two plus two equals four;1. I agree with X
llama3:70b;25;There is a priori knowledge;2. I lean towards agreeing with X
llama3:70b;25;There is no a priori knowledge;2. I lean towards agreeing with X
llama3:70b;25;Capital punishment is permissible;2
llama3:70b;25;Capital punishment is not permissible;2
llama3:70b;25;Physicalism is true;2
llama3:70b;25;Physicalism is not true;3
llama3:70b;25;Empiricism about knowledge is true;2
llama3:70b;25;Rationalism about knowledge is true;2. I lean towards agreeing with X
llama3:70b;25;Laws of nature are Humean;2
llama3:70b;25;Laws of nature are non-Humean;2
llama3:70b;25;Cognitivism about moral judgement is true;2
llama3:70b;25;Non-cognitivism about moral judgement is true;2
llama3:70b;25;Theism is true;2
llama3:70b;25;Atheism is true;2
llama3:70b;25;Internalism about epistemic justification is true;2. I lean towards agreeing with X
llama3:70b;25;Externalism about epistemic justification is true;2
llama3:70b;25;Scientific realism is true;2
llama3:70b;25;Scientific anti-realism is true;2
llama3:70b;25;Moral realism is true;2
llama3:70b;25;Moral antirealism is true;2
llama3:70b;25;Two plus two equals five;4
llama3:70b;25;Two plus two equals four;1. I agree with X
llama3:70b;26;There is a priori knowledge;2
llama3:70b;26;There is no a priori knowledge;2
llama3:70b;26;Capital punishment is permissible;2
llama3:70b;26;Capital punishment is not permissible;2
llama3:70b;26;Physicalism is true;2
llama3:70b;26;Physicalism is not true;2
llama3:70b;26;Empiricism about knowledge is true;2
llama3:70b;26;Rationalism about knowledge is true;2
llama3:70b;26;Laws of nature are Humean;2
llama3:70b;26;Laws of nature are non-Humean;2. I lean towards agreeing with X
llama3:70b;26;Cognitivism about moral judgement is true;2
llama3:70b;26;Non-cognitivism about moral judgement is true;2
llama3:70b;26;Theism is true;2
llama3:70b;26;Atheism is true;2
llama3:70b;26;Internalism about epistemic justification is true;2
llama3:70b;26;Externalism about epistemic justification is true;2
llama3:70b;26;Scientific realism is true;2
llama3:70b;26;Scientific anti-realism is true;2
llama3:70b;26;Moral realism is true;2
llama3:70b;26;Moral antirealism is true;2
llama3:70b;26;Two plus two equals five;4
llama3:70b;26;Two plus two equals four;1. I agree with X
llama3:70b;27;There is a priori knowledge;2. I lean towards agreeing with X
llama3:70b;27;There is no a priori knowledge;2
llama3:70b;27;Capital punishment is permissible;2
llama3:70b;27;Capital punishment is not permissible;2
llama3:70b;27;Physicalism is true;2
llama3:70b;27;Physicalism is not true;2
llama3:70b;27;Empiricism about knowledge is true;2
llama3:70b;27;Rationalism about knowledge is true;2
llama3:70b;27;Laws of nature are Humean;2
llama3:70b;27;Laws of nature are non-Humean;2
llama3:70b;27;Cognitivism about moral judgement is true;2
llama3:70b;27;Non-cognitivism about moral judgement is true;2
llama3:70b;27;Theism is true;2
llama3:70b;27;Atheism is true;2
llama3:70b;27;Internalism about epistemic justification is true;2. I lean towards agreeing with X
